RegionName,Date
Aberdeenshire,2019-03-01
Adur,2019-03-01
Allerdale,2019-03-01
Amber Valley,2019-03-01
Angus,2019-03-01
Antrim and Newtownabbey,2019-03-01
Ards and North Down,2019-03-01
Argyll and Bute,2019-03-01
Armagh City Banbridge and Craigavon,2019-03-01
Arun,2019-03-01
Ashfield,2019-03-01
Ashford,2019-03-01
Aylesbury Vale,2019-03-01
Babergh,2019-03-01
Barking and Dagenham,2019-03-01
Barnet,2019-03-01
Barnsley,2019-03-01
Barrow-in-Furness,2019-03-01
Basildon,2019-03-01
Basingstoke and Deane,2019-03-01
Bassetlaw,2019-03-01
Bath and North East Somerset,2019-03-01
Bedford,2019-03-01
Belfast,2019-03-01
Bexley,2019-03-01
Birmingham,2019-03-01
Blaby,2019-03-01
Blackburn with Darwen,2019-03-01
Blackpool,2019-03-01
Blaenau Gwent,2019-03-01
Bolsover,2019-03-01
Bolton,2019-03-01
Boston,2019-03-01
Bournemouth,2019-03-01
Bracknell Forest,2019-03-01
Bradford,2019-03-01
Braintree,2019-03-01
Breckland,2019-03-01
Brent,2019-03-01
Brentwood,2019-03-01
Bridgend,2019-03-01
Brighton and Hove,2019-03-01
Broadland,2019-03-01
Bromley,2019-03-01
Bromsgrove,2019-03-01
Broxbourne,2019-03-01
Broxtowe,2019-03-01
Buckinghamshire,2019-03-01
Burnley,2019-03-01
Bury,2019-03-01
Caerphilly,2019-03-01
Calderdale,2019-03-01
Cambridge,2019-03-01
Cambridgeshire,2019-03-01
Camden,2019-03-01
Cannock Chase,2019-03-01
Canterbury,2019-03-01
Cardiff,2019-03-01
Carlisle,2019-03-01
Carmarthenshire,2019-03-01
Castle Point,2019-03-01
Causeway Coast and Glens,2019-03-01
Central Bedfordshire,2019-03-01
Ceredigion,2019-03-01
Charnwood,2019-03-01
Chelmsford,2019-03-01
Cheltenham,2019-03-01
Cherwell,2019-03-01
Cheshire East,2019-03-01
Cheshire West and Chester,2019-03-01
Chesterfield,2019-03-01
Chichester,2019-03-01
Chiltern,2019-03-01
Chorley,2019-03-01
Christchurch,2019-03-01
City of Aberdeen,2019-03-01
City of Bristol,2019-03-01
City of Derby,2019-03-01
City of Dundee,2019-03-01
City of Edinburgh,2019-03-01
City of Glasgow,2019-03-01
City of Kingston upon Hull,2019-03-01
City of London,2019-03-01
City of Nottingham,2019-03-01
City of Peterborough,2019-03-01
City of Plymouth,2019-03-01
City of Westminster,2019-03-01
Clackmannanshire,2019-03-01
Colchester,2019-03-01
Conwy,2019-03-01
